Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
4/7/03,Romania,1,0,1
4/7/03,Russian Federation,1,0,0
4/7/03,Singapore,206,32,171
4/7/03,South Africa,1,1,0
4/7/03,Spain,1,0,1
4/7/03,Sweden,3,0,3
4/7/03,Switzerland,1,0,1
4/7/03,Thailand,9,2,7
4/7/03,United Kingdom,4,0,4
4/7/03,United States,73,0,65
4/7/03,Viet Nam,63,5,58
7/7/03,Brazil,1,0,1
7/7/03,Canada,251,38,193
7/7/03,China,5327,348,4934
7/7/03,"Hong Kong SAR, China",1755,298,1430
7/7/03,"Macao SAR, China",1,0,1
7/7/03,"Taiwan, China",674,84,500
7/7/03,Colombia,1,0,1
7/7/03,Finland,1,0,1
7/7/03,France,7,0,6
7/7/03,Germany,10,0,9
7/7/03,India,3,0,3
7/7/03,Indonesia,2,0,2
7/7/03,Italy,4,0,4
7/7/03,Kuwait,1,0,1
7/7/03,Malaysia,5,2,3
7/7/03,Mongolia,9,0,9
7/7/03,New Zealand,1,0,1
7/7/03,Philippines,14,2,12
7/7/03,Republic of Ireland,1,0,1
7/7/03,Republic of Korea,3,0,3
7/7/03,Romania,1,0,1
7/7/03,Russian Federation,1,0,0
7/7/03,Singapore,206,32,171
7/7/03,South Africa,1,1,0
7/7/03,Spain,1,0,1
7/7/03,Sweden,3,0,3
7/7/03,Switzerland,1,0,1
7/7/03,Thailand,9,2,7
7/7/03,United Kingdom,4,0,4
7/7/03,United States,73,0,65
7/7/03,Viet Nam,63,5,58
8/7/03,Brazil,1,0,1
8/7/03,Canada,250,38,194
8/7/03,China,5327,348,4934
8/7/03,"Hong Kong SAR, China",1755,298,1430
8/7/03,"Macao SAR, China",1,0,1
8/7/03,"Taiwan, China",671,84,502
8/7/03,Colombia,1,0,1
8/7/03,Finland,1,0,1
8/7/03,France,7,0,6
8/7/03,Germany,10,0,9
8/7/03,India,3,0,3
8/7/03,Indonesia,2,0,2
8/7/03,Italy,4,0,4
8/7/03,Kuwait,1,0,1
8/7/03,Malaysia,5,2,3
8/7/03,Mongolia,9,0,9
8/7/03,New Zealand,1,0,1
8/7/03,Philippines,14,2,12
8/7/03,Republic of Ireland,1,0,1
8/7/03,Republic of Korea,3,0,3
8/7/03,Romania,1,0,1
8/7/03,Russian Federation,1,0,0
8/7/03,Singapore,206,32,171
8/7/03,South Africa,1,1,0
8/7/03,Spain,1,0,1
8/7/03,Sweden,3,0,3
8/7/03,Switzerland,1,0,1
8/7/03,Thailand,9,2,7
8/7/03,United Kingdom,4,0,4
8/7/03,United States,74,0,64
8/7/03,Viet Nam,63,5,58
9/7/03,Brazil,1,0,1
9/7/03,Canada,249,38,193
9/7/03,China,5327,348,4939
9/7/03,"Hong Kong SAR, China",1755,298,1431
9/7/03,"Macao SAR, China",1,0,1
9/7/03,"Taiwan, China",671,84,504
9/7/03,Colombia,1,0,1
9/7/03,Finland,1,0,1
9/7/03,France,7,0,6
9/7/03,Germany,10,0,9
9/7/03,India,3,0,3
9/7/03,Indonesia,2,0,2
9/7/03,Italy,4,0,4
9/7/03,Kuwait,1,0,1
9/7/03,Malaysia,5,2,3
9/7/03,Mongolia,9,0,9
9/7/03,New Zealand,1,0,1
9/7/03,Philippines,14,2,12
9/7/03,Republic of Ireland,1,0,1
9/7/03,Republic of Korea,3,0,3
9/7/03,Romania,1,0,1
9/7/03,Russian Federation,1,0,0
9/7/03,Singapore,206,32,171
9/7/03,South Africa,1,1,0
9/7/03,Spain,1,0,1
9/7/03,Sweden,3,0,3
9/7/03,Switzerland,1,0,1
9/7/03,Thailand,9,2,7
9/7/03,United Kingdom,4,0,4
9/7/03,United States,75,0,67
9/7/03,Viet Nam,63,5,58
10/7/03,Brazil,1,0,1
10/7/03,Canada,250,38,194
10/7/03,China,5327,348,4941
10/7/03,"Hong Kong SAR, China",1755,298,1431
10/7/03,"Macao SAR, China",1,0,1
10/7/03,"Taiwan, China",671,84,506
10/7/03,Colombia,1,0,1
10/7/03,Finland,1,0,1
10/7/03,France,7,0,6
10/7/03,Germany,10,0,9
10/7/03,India,3,0,3
10/7/03,Indonesia,2,0,2
10/7/03,Italy,4,0,4
10/7/03,Kuwait,1,0,1
10/7/03,Malaysia,5,2,3
10/7/03,Mongolia,9,0,9
10/7/03,New Zealand,1,0,1
10/7/03,Philippines,14,2,12
10/7/03,Republic of Ireland,1,0,1
10/7/03,Republic of Korea,3,0,3
10/7/03,Romania,1,0,1
10/7/03,Russian Federation,1,0,0
10/7/03,Singapore,206,32,172
10/7/03,South Africa,1,1,0
10/7/03,Spain,1,0,1
10/7/03,Sweden,3,0,3
10/7/03,Switzerland,1,0,1
10/7/03,Thailand,9,2,7
10/7/03,United Kingdom,4,0,4
10/7/03,United States,75,0,67
10/7/03,Viet Nam,63,5,58
11/7/03,Brazil,1,0,1
11/7/03,Canada,250,38,194
11/7/03,China,5327,348,4941
11/7/03,"Hong Kong SAR, China",1755,298,1433
11/7/03,"Macao SAR, China",1,0,1
11/7/03,"Taiwan, China",671,84,507
11/7/03,Colombia,1,0,1
11/7/03,Finland,1,0,1
11/7/03,France,7,1,6
11/7/03,Germany,10,0,9
11/7/03,India,3,0,3
11/7/03,Indonesia,2,0,2
11/7/03,Italy,4,0,4
11/7/03,Kuwait,1,0,1
11/7/03,Malaysia,5,2,3
11/7/03,Mongolia,9,0,9
11/7/03,New Zealand,1,0,1
11/7/03,Philippines,14,2,12
11/7/03,Republic of Ireland,1,0,1
11/7/03,Republic of Korea,3,0,3
11/7/03,Romania,1,0,1
11/7/03,Russian Federation,1,0,0
11/7/03,Singapore,206,32,172
11/7/03,South Africa,1,1,0
11/7/03,Spain,1,0,1
11/7/03,Sweden,3,0,3
11/7/03,Switzerland,1,0,1
11/7/03,Thailand,9,2,7
11/7/03,United Kingdom,4,0,4
11/7/03,United States,75,0,67
11/7/03,Viet Nam,63,5,58
